Constituency,Candidate,Party Name,Party,Total_Votes,%_of_Votes,Tot_Constituency_votes_polled,Tot_votes_by_parties,Winning_votes,2021 RESULTS
Tirupattur,A. NALLATHAMBI,Dravida Munnetra Kazhagam,DMK,96522,51.91,185930,17430100,96522,WIN
Tiruppattur,KR.PERIYAKARUPPAN,Dravida Munnetra Kazhagam,DMK,103682,49.19,210766,17430100,103682,WIN
Tiruppur (South),SELVARAJ. K.,Dravida Munnetra Kazhagam,DMK,75535,43.31,174418,17430100,75535,WIN
Tiruttani,S.Chandran,Dravida Munnetra Kazhagam,DMK,120314,51.72,232624,17430100,120314,WIN
Tiruvannamalai,E V VELU,Dravida Munnetra Kazhagam,DMK,137876,66.02,208836,17430100,137876,WIN
Tittakudi,"GANESAN,  C.V.",Dravida Munnetra Kazhagam,DMK,83726,49.78,168184,17430100,83726,WIN
Ulundurpettai,MANIKANNAN A J,Dravida Munnetra Kazhagam,DMK,115451,47.15,244853,17430100,115451,WIN
Usilampatti,AYYAPPAN P,All India Anna Dravida Munnetra Kazhagam,AIADMK,71255,33.53,212513,15390974,71255,WIN
Uthiramerur,SUNDAR K,Dravida Munnetra Kazhagam,DMK,93427,44.38,210529,17430100,93427,WIN
Vandavasi,Ambethkumar S,Dravida Munnetra Kazhagam,DMK,102064,54.88,185974,17430100,102064,WIN
Vasudevanallur,"SADHAN THIRUMALAIKUMAR, DOCTOR.T",Dravida Munnetra Kazhagam,DMK,68730,39.08,175881,17430100,68730,WIN
Vedaranyam,O.S.MANIAN,All India Anna Dravida Munnetra Kazhagam,AIADMK,78719,49.8,158060,15390974,78719,WIN
Vedasandur,GANDHIRAJAN S,Dravida Munnetra Kazhagam,DMK,106481,49.97,213080,17430100,106481,WIN
Veerapandi,"RAJAMUTHU, M.",All India Anna Dravida Munnetra Kazhagam,AIADMK,111682,49.92,223702,15390974,111682,WIN
Vellore,Karthikeyan .P,Dravida Munnetra Kazhagam,DMK,84299,46.86,179899,17430100,84299,WIN
Veppanahalli,K.P.Munusamy,All India Anna Dravida Munnetra Kazhagam,AIADMK,94104,45.87,205141,15390974,94104,WIN
Vikravandi,PUGAZHENTHI N,Dravida Munnetra Kazhagam,DMK,93730,48.41,193617,17430100,93730,WIN
Vilathikulam,MARKANDAYAN V,Dravida Munnetra Kazhagam,DMK,90348,54.05,167169,17430100,90348,WIN
Villivakkam,A . Vetriazhagan,Dravida Munnetra Kazhagam,DMK,76127,52.83,144092,17430100,76127,WIN
Villupuram,LAKSHMANAN R,Dravida Munnetra Kazhagam,DMK,102271,49.92,204860,17430100,102271,WIN
Viralimalai,VIJAYA BASKER C,All India Anna Dravida Munnetra Kazhagam,AIADMK,102179,52.83,193423,15390974,102179,WIN
Virudhunagar,SEENIVASAN A.R.R,Dravida Munnetra Kazhagam,DMK,73297,45.32,161717,17430100,73297,WIN
Virugampakkam,AMV.PRABHAKARA RAJA,Dravida Munnetra Kazhagam,DMK,74351,43.97,169087,17430100,74351,WIN
Yercaud,G. Chitra,All India Anna Dravida Munnetra Kazhagam,AIADMK,121561,50.88,238924,15390974,121561,WIN
Arakkonam,S.RAVI,All India Anna Dravida Munnetra Kazhagam,AIADMK,85399,49.82,171412,15390974,85399,WIN
Aranthangi,RAMACHANDRAN T,Indian National Congress,INC,81835,48.7,168048,1976527,81835,WIN
Bhavanisagar,A.Bannari,All India Anna Dravida Munnetra Kazhagam,AIADMK,99181,49.45,200567,15390974,99181,WIN
Cheyyur,Babu M,Viduthalai Chiruthaigal Katchi,VCK,82750,46.2,179120,457763,82750,WIN
Chidambaram,K.A. PANDIAN,All India Anna Dravida Munnetra Kazhagam,AIADMK,91961,50.16,183352,15390974,91961,WIN
Dindigul,SREENIVASAN.C,All India Anna Dravida Munnetra Kazhagam,AIADMK,90595,46.43,195118,15390974,90595,WIN
Erode (East),"THIRUMAHAN EVERAA,E.",Indian National Congress,INC,67300,44.27,152037,1976527,67300,WIN
Gandarvakkottai,M.Chinnadurai,Communist Party of India  (Marxist),CPIM,69710,44.23,157620,390819,69710,WIN
Harur,SAMPATHKUMAR.V,All India Anna Dravida Munnetra Kazhagam,AIADMK,99061,49.89,198565,15390974,99061,WIN
Kadayanallur,C.KRISHNAMURALI,All India Anna Dravida Munnetra Kazhagam,AIADMK,88474,43.08,205374,15390974,88474,WIN
Kallakurichi,Senthilkumar.M,All India Anna Dravida Munnetra Kazhagam,AIADMK,110643,48.99,225858,15390974,110643,WIN
Kattumannarkoil,SINTHANAI SELVAN,Viduthalai Chiruthaigal Katchi,VCK,86056,49.02,175561,457763,86056,WIN
Killiyoor,RAJESH KUMAR  S,Indian National Congress,INC,101541,59.76,169918,1976527,101541,WIN
Kovilpatti,KADAMBUR RAJU,All India Anna Dravida Munnetra Kazhagam,AIADMK,68556,37.89,180928,15390974,68556,WIN
Melur,PERIYAPULLAN @ SELVAM  P.,All India Anna Dravida Munnetra Kazhagam,AIADMK,83344,45.6,182782,15390974,83344,WIN
Nagapattinam,J. Mohamed Shanavas,Viduthalai Chiruthaigal Katchi,VCK,66281,46.17,143560,457763,66281,WIN
Nanguneri,RUBY R MANOHARAN,Indian National Congress,INC,75902,39.43,192522,1976527,75902,WIN
